年度,職類別,行業別,受僱員工人數,總薪資,經常性薪資,非經常性薪資
2018,事務支援人員,砂、石採取及其他礦業,304,"25,973","25,801",172
2018,總務,砂、石採取及其他礦業,38,"31,724","31,601",123
2018,一般辦公室事務人員(含文書),砂、石採取及其他礦業,109,"24,431","24,169",262
2018,資料輸入人員,砂、石採取及其他礦業,18,"25,255","24,461",794
2018,總機人員,砂、石採取及其他礦業,… ,… ,… ,… 
2018,會計助理、簿記、出納,砂、石採取及其他礦業,116,"25,532","25,491",41
2018,存貨事務人員,砂、石採取及其他礦業,… ,… ,… ,… 
2018,生產及物料規劃事務人員,砂、石採取及其他礦業,— ,— ,— ,— 
2018,運輸事務人員(含稽查、調度、管理、航務),砂、石採取及其他礦業,11,"24,915","24,915",— 
2018,人事事務人員,砂、石採取及其他礦業,6,"26,344","26,344",— 
2018,服務及銷售工作人員,砂、石採取及其他礦業,11,"29,769","29,769",— 
2018,廚師,砂、石採取及其他礦業,… ,… ,… ,… 
2018,消防人員,砂、石採取及其他礦業,— ,— ,— ,— 
2018,建築物管理員、保全及警衛人員,砂、石採取及其他礦業,8,"28,228","28,228",— 
2018,救生員,砂、石採取及其他礦業,— ,— ,— ,— 
2018,技藝、機械設備操作及組裝人員,砂、石採取及其他礦業,"1,315","33,408","32,223","1,185"
2018,砌石、裁石及石雕人員,砂、石採取及其他礦業,19,"34,069","34,069",— 
2018,管道裝設人員(含檢修),砂、石採取及其他礦業,— ,— ,— ,— 
2018,焊接及切割人員(含電焊工、氣焊工),砂、石採取及其他礦業,38,"26,739","25,240","1,499"
2018,工具製造人員(含模具工、鉗工),砂、石採取及其他礦業,— ,— ,— ,— 
2018,車輛維修人員(含自行車、機車、汽車、火車),砂、石採取及其他礦業,31,"39,210","37,300","1,910"
2018,產業用機器維修人員,砂、石採取及其他礦業,21,"34,683","31,319","3,364"
2018,電力機械裝修人員,砂、石採取及其他礦業,8,"32,418","31,794",624
2018,電子設備裝修人員（不含資通訊設備）,砂、石採取及其他礦業,— ,— ,— ,— 
2018,木材處理、家具木工及有關工作人員,砂、石採取及其他礦業,— ,— ,— ,— 
2018,採礦及採石人員(含爆破人員),砂、石採取及其他礦業,206,"31,182","30,060","1,122"
2018,礦石及石材處理設備操作員,砂、石採取及其他礦業,366,"32,229","30,466","1,763"
2018,鑽井及有關工作人員,砂、石採取及其他礦業,— ,— ,— ,— 
2018,原油處理工,砂、石採取及其他礦業,— ,— ,— ,— 
2018,化學產品機械操作員(不含藥品、化粧品及照相產品),砂、石採取及其他礦業,— ,— ,— ,— 
2018,小客、貨車駕駛人員,砂、石採取及其他礦業,45,"30,869","29,512","1,357"
2018,大客、貨車駕駛人員,砂、石採取及其他礦業,279,"36,035","35,649",386
2018,推土、吊車、起重機等移運設備操作人員,砂、石採取及其他礦業,299,"34,372","33,297","1,075"
2018,船舶艙面水手及有關工作人員,砂、石採取及其他礦業,… ,… ,… ,… 
2018,基層技術工及勞力工,砂、石採取及其他礦業,263,"26,066","24,037","2,029"
2018,清潔及家事工作人員(含建築清潔工),砂、石採取及其他礦業,43,"22,106","22,106",— 
2018,勞力工,砂、石採取及其他礦業,216,"26,888","24,418","2,470"
2018,廚房幫工(含速食烹調),砂、石採取及其他礦業,… ,… ,… ,… 
